channelTitle,videoId,channelId,title,viewCount,likeCount,dislikeCount,commentCount,time,commentScore
nptelhrd,JPhCxbxPHbo,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-05 Lecture-05-Testing of Single Phase Transformers,94705,209,8,21,3434,0.02526
nptelhrd,NiHPu5PltCY,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-21 Lecture-21-Operating Principles of DC Machines,132853,468,33,53,3352,0.21714
nptelhrd,KdH2-rKEyNY,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction to Helicopter Aerodynamics and Dynamics,65998,398,5,25,4364,0.41578
nptelhrd,sVRVT84VQVw,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-02 Lecture-02-Introduction to Process Control (Contd.),66639,184,8,8,3412,0.42242
nptelhrd,m4sjTt7rhow,UC640y4UvDAlya_WOj5U4pfA,"Mod-04 Lec-16 Feedback in amplifiers, Feedback Configurations and multi stage amplifiers",89189,559,24,16,3240,0.53518
nptelhrd,Jlzo8OzoZ_c,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01  Introduction,146186,628,16,43,3413,0.16832
nptelhrd,KUDGGsyh1Hs,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 RF system basic architectures,100544,340,11,30,3499,0.39368
nptelhrd,k9dhcfIyOFc,UC640y4UvDAlya_WOj5U4pfA,Mod-02 Lec-02 Forecasting -- Time series models -- Simple Exponential smoothing,235533,1089,49,110,3181,0.4175
nptelhrd,KA8jr4GLzhI,UC640y4UvDAlya_WOj5U4pfA,Mod-07 Lec-31 Line Balancing,81651,369,23,19,3189,0.2821
nptelhrd,e1yUVLKhcko,UC640y4UvDAlya_WOj5U4pfA,"Mod-02 Lec-03 Forecasting -- Linear Models, Regression, Holt's , seasonality",67037,335,6,27,3220,0.1954
nptelhrd,Gc8emFk-2vc,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction: Vertex cover and independent set,75847,148,15,27,3373,0.56298
nptelhrd,Q-HugPvA7GQ,UC640y4UvDAlya_WOj5U4pfA,Introduction,213332,324,25,34,3543,0.1197
nptelhrd,zgX6S7tEScI,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-03 Dirac Delta Function & Fourier Transforms,71341,614,11,38,3497,0.53504
