channelTitle,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,categoryId
CrashCourse,Jupiter: Crash Course Astronomy #16,1377966,17390,234,0,1048,PT10M43S,27
CrashCourse,"Copyright, Exceptions, and Fair Use: Crash Course Intellectual Property #3",308410,5426,104,0,520,PT11M39S,27
CrashCourse,Copyright Basics: Crash Course Intellectual Property 2,416953,6378,159,0,878,PT12M18S,27
CrashCourse,Taste & Smell: Crash Course A&P #16,1298020,12325,267,0,770,PT10M30S,27
CrashCourse,Introduction to Intellectual Property: Crash Course IP 1,651258,10696,337,0,961,PT10M10S,27
CrashCourse,Parasympathetic Nervous System: Crash Course A&P #15,1128072,12521,157,0,817,PT10M17S,27
CrashCourse,Presidential Powers 2: Crash Course Government and Politics #12,775228,6293,153,0,428,PT7M53S,27
CrashCourse,Mercury: Crash Course Astronomy #13,1112823,13905,213,0,784,PT10M18S,27
CrashCourse,Presidential Power: Crash Course Government and Politics #11,1115360,9097,283,0,663,PT6M30S,27
CrashCourse,Autonomic Nervous System: Crash Course A&P #13,1865744,18189,361,0,601,PT8M49S,27
CrashCourse,Central Nervous System: Crash Course A&P #11,2670851,25060,448,0,969,PT10M8S,27
CrashCourse,The Sun: Crash Course Astronomy #10,1611197,20562,469,0,1614,PT12M4S,27
CrashCourse,Capitalism and the Dutch East India Company: Crash Course World History 229,1621280,22859,698,0,4027,PT15M40S,27
CrashCourse,Congressional Leadership: Crash Course Government and Politics #8,705007,6448,211,0,600,PT8M12S,27
CrashCourse,"The Nervous System, Part 3 - Synapses!: Crash Course A&P #10",2851690,27268,453,0,1054,PT10M57S,27
CrashCourse,Congressional Committees: Crash Course Government and Politics #7,878456,7539,183,0,1189,PT8M28S,27
CrashCourse,"The Nervous System, Part 2 - Action! Potential!: Crash Course A&P #9",4265313,44908,659,0,1725,PT11M44S,27
CrashCourse,"The Nervous System, Part 1: Crash Course A&P #8",5258809,51844,1092,0,2104,PT10M36S,27
CrashCourse,War and Nation Building in Latin America: Crash Course World History 225,1351620,19073,782,0,3191,PT12M14S,27
CrashCourse,"The Integumentary System, Part 1 - Skin Deep: Crash Course A&P #6",2459949,22681,507,0,915,PT9M40S,27
CrashCourse,Separation of Powers and Checks and Balances: Crash Course Government and Politics #3,2011784,18227,892,0,1585,PT8M31S,27
CrashCourse,The Vikings! - Crash Course World History 224,2695592,34093,1270,0,4650,PT11M18S,27
CrashCourse,"Tissues, Part 4 - Types of Connective Tissues: Crash Course A&P #5",1329844,13056,198,0,570,PT9M43S,27
CrashCourse,Cycles in the Sky: Crash Course Astronomy #3,1102554,16171,153,0,1051,PT9M29S,27
CrashCourse,Conflict in Israel and Palestine: Crash Course World History 223,7231184,100364,11244,0,35811,PT12M53S,27
CrashCourse,Water and Classical Civilizations: Crash Course World History 222,1244501,14964,299,0,1314,PT11M9S,27
CrashCourse,Introduction to Anatomy & Physiology: Crash Course A&P #1,5537394,65736,1148,0,3005,PT11M20S,27
CrashCourse,Aggression vs. Altruism: Crash Course Psychology #40,1098035,17828,203,0,1500,PT10M41S,27
CrashCourse,Islam and Politics: Crash Course World History 216,2873146,43171,3867,0,12525,PT13M28S,27
CrashCourse,Social Influence: Crash Course Psychology #38,1670210,22936,241,0,1095,PT10M8S,27
CrashCourse,Human Evolution: Crash Course Big History #6,2427020,33001,1509,0,7625,PT16M13S,27
CrashCourse,Social Thinking: Crash Course Psychology #37,1947793,27091,372,0,1335,PT10M48S,27
CrashCourse,Personality Disorders: Crash Course Psychology #34,3423265,56467,1473,0,4085,PT10M58S,27
CrashCourse,The End of Civilization (In the Bronze Age): Crash Course World History 211,2104068,24175,980,0,2434,PT12M58S,27
CrashCourse,Trauma and Addiction: Crash Course Psychology #31,1896486,28443,462,0,1552,PT10M51S,27
CrashCourse,The Big Bang: Crash Course Big History #1,2676359,41271,1067,0,7464,PT14M25S,27
CrashCourse,Drought and Famine: Crash Course World History #208,1130682,15256,362,0,2257,PT10M30S,27
CrashCourse,OCD and Anxiety Disorders: Crash Course Psychology #29,4360485,80247,1050,0,7563,PT11M32S,27
CrashCourse,Psychological Disorders: Crash Course Psychology #28,2296314,30703,445,0,1510,PT10M10S,27
CrashCourse,"Climate Change, Chaos, and The Little Ice Age - Crash Course World History 206",2125995,23736,1014,0,2575,PT10M8S,27
CrashCourse,Let's Talk About Sex: Crash Course Psychology #27,4960849,48320,2596,0,4564,PT11M36S,27
CrashCourse,War & Human Nature: Crash Course World History 204,2329756,30337,997,0,3488,PT10M37S,27
CrashCourse,Brains vs. Bias: Crash Course Psychology #24,1050208,12819,194,0,944,PT11M4S,27
CrashCourse,Controversy of Intelligence: Crash Course Psychology #23,2142137,26357,631,0,2110,PT12M39S,27
CrashCourse,Money & Debt: Crash Course World History 202,2142281,26869,661,0,2631,PT14M4S,27
CrashCourse,Measuring Personality: Crash Course Psychology #22,2078278,25528,459,0,1495,PT11M8S,27
CrashCourse,"World History, Year 2 Preview",472930,14410,97,0,2442,PT2M36S,27
