channelId,videoId,channelTitle,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,time
UC640y4UvDAlya_WOj5U4pfA,iT2pjfYbyZg,nptelhrd,Limit State of Collapse Shear,89403,295,24,0,10,PT55M11S,3311
UC640y4UvDAlya_WOj5U4pfA,0fTvE8aSsiE,nptelhrd,Design of Doubly Reinforced Beam Flexure - I,203535,610,52,0,37,PT56M13S,3373
UC640y4UvDAlya_WOj5U4pfA,j-7aVssJk8I,nptelhrd,Working Stress Method,283623,1039,76,0,66,PT51M58S,3118
UC640y4UvDAlya_WOj5U4pfA,D1m2K-zybf0,nptelhrd,Working Stress Method (Contd...),132341,361,25,0,40,PT52M34S,3154
UC640y4UvDAlya_WOj5U4pfA,ba3mZhOpsTM,nptelhrd,Different Methods of Design of Reinforced Concrete Structures,269484,910,37,0,62,PT53M7S,3187
UC640y4UvDAlya_WOj5U4pfA,pIdaC_I6H_M,nptelhrd,Introduction - I,782139,3249,115,0,190,PT55M9S,3309
UC640y4UvDAlya_WOj5U4pfA,3Do2cZMUGYc,nptelhrd,Materials,219675,797,33,0,55,PT53M38S,3218
UC640y4UvDAlya_WOj5U4pfA,K7VIKlUdo20,nptelhrd,Lec-17 Linked Lists-I,336076,885,52,0,68,PT42M9S,2529
UC640y4UvDAlya_WOj5U4pfA,atfNaIY9WbQ,nptelhrd,Lec-3 C Programming-II,190502,378,9,0,48,PT47M13S,2833
UC640y4UvDAlya_WOj5U4pfA,3QiItmIWmOM,nptelhrd,Lec-2 C Programming-I,416133,830,52,0,94,PT34M58S,2098
UC640y4UvDAlya_WOj5U4pfA,T6jHXD78dBI,nptelhrd,Mod-1 Lec-1 Complex Integration,99338,227,13,0,22,PT53M35S,3215
UC640y4UvDAlya_WOj5U4pfA,6nguX-cEsvw,nptelhrd,Mod-1 Lec-1 Fundamentals Of Engineering Mechanics,183126,300,34,0,38,PT58M47S,3527
UC640y4UvDAlya_WOj5U4pfA,IcJOkRZPNMI,nptelhrd,"Lec-16 Pipe Friction, Major Loss, Minor Loss",77638,324,15,0,28,PT53M43S,3223
UC640y4UvDAlya_WOj5U4pfA,HpoilOJ1Ahc,nptelhrd,Lec-12 Steam Turbine-Impulse,123683,377,18,0,30,PT53M55S,3235
UC640y4UvDAlya_WOj5U4pfA,LUZrZJJ7zNQ,nptelhrd,"Lec-6 Property of Pure Substance, Steam Table",163768,961,42,0,64,PT53M5S,3185
UC640y4UvDAlya_WOj5U4pfA,4-BI22Wx4Pc,nptelhrd,Lec-20 Vapors Power Cycle-I,192013,869,36,0,62,PT1H9S,3609
UC640y4UvDAlya_WOj5U4pfA,o9ueYSKj9og,nptelhrd,Lec-19 Properties of Ideal Gases,67529,173,11,0,14,PT59M18S,3558
UC640y4UvDAlya_WOj5U4pfA,pJM9Fh9Fp-I,nptelhrd,Lec-16 Properties of Pure Substances-I,158267,514,23,0,30,PT1H5S,3605
UC640y4UvDAlya_WOj5U4pfA,bvqyQB9_N8M,nptelhrd,Lec-11 Second Law and Available Energy-II,110742,346,18,0,47,PT1H7S,3607
UC640y4UvDAlya_WOj5U4pfA,5q_MMdGINgQ,nptelhrd,Lec-7 Second Law and Its Corollaries-II,136188,402,22,0,25,PT1H4S,3604
UC640y4UvDAlya_WOj5U4pfA,bTgeUXbFiaE,nptelhrd,Lec-8 Second Law and Its Corollaries-III,123424,397,11,0,42,PT1H7S,3607
UC640y4UvDAlya_WOj5U4pfA,bCToK4_dmbU,nptelhrd,Lec-5 First Low-III,136859,341,24,0,74,PT1H23S,3623
UC640y4UvDAlya_WOj5U4pfA,lvy8h-yWhRQ,nptelhrd,Lec-6 Second Law and Its Corollaries-I,187936,612,32,0,76,PT1H5S,3605
UC640y4UvDAlya_WOj5U4pfA,6dFnpz_AEyA,nptelhrd,Lecture 1 - Digital Signal Processing Introduction,600886,1581,77,0,131,PT25M26S,1526
UC640y4UvDAlya_WOj5U4pfA,xQwi9fveGTQ,nptelhrd,Lec-2 Zeroth Law and Fundamental Concepts,343525,1182,60,0,68,PT39M52S,2392
UC640y4UvDAlya_WOj5U4pfA,9GMBpZZtjXM,nptelhrd,Lec-1 Introduction and Fundamental Concepts,1147456,4234,184,0,276,PT1H2S,3602
UC640y4UvDAlya_WOj5U4pfA,H58TPQNr2kM,nptelhrd,Lec-34 Critical Path Method,313746,838,29,0,97,PT57M56S,3476
UC640y4UvDAlya_WOj5U4pfA,2aPlzhsEsIw,nptelhrd,Lec-31 Single Server Queueing Models,204627,913,28,0,83,PT56M56S,3416
UC640y4UvDAlya_WOj5U4pfA,h0bdo06qNVw,nptelhrd,Lec-33 Game Theory,305136,1021,49,0,87,PT58M36S,3516
UC640y4UvDAlya_WOj5U4pfA,PavZX3hAL6I,nptelhrd,Lec-32 Multiple Server Queueing Models,119949,376,16,0,39,PT56M13S,3373
UC640y4UvDAlya_WOj5U4pfA,A1wsIFDKqBk,nptelhrd,Lec-29 Vehicle Routeing Problem,96151,463,11,0,44,PT59M8S,3548
UC640y4UvDAlya_WOj5U4pfA,xGkpXk-AnWU,nptelhrd,Lec-30 Queueing Models,454651,2672,89,0,212,PT58M32S,3512
UC640y4UvDAlya_WOj5U4pfA,LjvdXKsvUpU,nptelhrd,Lec-26 Heuristics for TSP,66418,255,9,0,16,PT58M8S,3488
UC640y4UvDAlya_WOj5U4pfA,UtSrgTsKUfU,nptelhrd,Lec-23 Minimum Cost Flow Problem,100249,363,11,0,37,PT58M32S,3512
UC640y4UvDAlya_WOj5U4pfA,wVu5qN0E4ww,nptelhrd,Lec-20 Shortest Path Problem,203854,415,20,0,39,PT58M4S,3484
UC640y4UvDAlya_WOj5U4pfA,Dmw3OsyT5yw,nptelhrd,Lec-19 Network Models,230754,881,17,0,71,PT58M16S,3496
UC640y4UvDAlya_WOj5U4pfA,F8qiM3o0Jc0,nptelhrd,Lecture - 11 The Graph Theory Approach for Electrical Circuits(Part-I),237421,1244,84,0,42,PT57M43S,3463
UC640y4UvDAlya_WOj5U4pfA,mtRR-5fzKo8,nptelhrd,Mod-1 Lec-1 Introduction to Design of Steel Structures,392665,1096,62,0,78,PT1H1M12S,3672
UC640y4UvDAlya_WOj5U4pfA,Ru3FhYbjcFs,nptelhrd,Lec-1 Introduction,64608,147,5,0,18,PT43M22S,2602
UC640y4UvDAlya_WOj5U4pfA,TH9nd-KdVHs,nptelhrd,Lec-1 Introduction to Digital Computer Organization,108369,198,6,0,19,PT47M50S,2870
